,file_name,relative_freq_adj,relative_freq_verb,relative_freq_noun,relative_freq_adv,final_person,final_location,final_org
172,0196.a4.txt,590.52,1204.35,1219.89,1219.89,17,0,4
173,0128.a4.txt,510.73,1082.74,1879.47,1879.47,5,0,2
174,0199.a4.txt,732.52,965.59,1609.32,1609.32,21,0,10
175,0120.a4.txt,556.12,1385.24,1233.57,1233.57,7,0,6
176,1055.a4.txt,583.17,1003.82,1481.84,1481.84,33,0,0
177,0104.a4.txt,659.13,1101.69,1506.59,1506.59,12,0,5
178,0195.a4.txt,400.0,1131.71,1560.98,1560.98,12,0,10
179,3062.a4.txt,763.29,977.7,1732.42,1732.42,15,0,4
180,1043.a4.txt,786.63,1052.11,1356.93,1356.93,38,0,0
181,1070.a4.txt,387.17,1250.0,1227.88,1227.88,12,0,0
182,1034.a4.txt,653.1,1102.78,1573.88,1573.88,30,0,5
183,1022.a4.txt,579.08,1132.24,1521.18,1521.18,13,0,9
184,2071.a4.txt,565.37,1154.3,1142.52,1142.52,42,0,1
